LTL Type,Number of Propositions,Number of Utterances,Accuracy
visit,1,21,0.0
visit,2,22,0.6818181818181818
visit,3,26,0.24358974358974356
visit,4,19,0.2894736842105263
visit,5,19,0.25
sequenced_visit,2,22,0.0
sequenced_visit,3,16,0.014705882352941176
sequenced_visit,4,17,0.020833333333333332
sequenced_visit,5,14,0.0
ordered_visit,2,21,0.0
ordered_visit,3,12,0.10416666666666667
ordered_visit,4,15,0.18181818181818182
ordered_visit,5,15,0.0
strictly_ordered_visit,2,20,0.0
strictly_ordered_visit,3,11,0.03571428571428571
strictly_ordered_visit,4,16,0.14285714285714285
strictly_ordered_visit,5,12,0.0
patrolling,1,25,0.0
patrolling,2,19,0.26666666666666666
patrolling,3,14,0.25
patrolling,4,14,0.5
patrolling,5,9,0.3333333333333333
fair_visit,2,19,0.0
fair_visit,3,12,0.0
fair_visit,5,12,0.0
fair_visit,4,17,0.0
